Tamil,English
நான்,I
அவரது,His
சிக்கல்,Trouble
பயணம்,Journey
மலர்,Flower
சந்தோஷமாக,Happy
உடன்,With
அவை,They
இருக்கும்,Remain
மாடு,Cow
புல்,Grass
கண்ணாடி,Glass
வானிலை,Weather
இருந்து,From
சூடான,Warm
வானம்,Sky
ஆனால்,But
என்ன,What
ஆகிறது,Becomes
அது,It
நீங்கள்,You
அல்லது,Or
இருந்தது,Had
ஆண்டு,Year
உள்ள,In
செய்ய,Do
மற்றும்,And
உடற்பயிற்சி,Exercise
உள்ள,In
நாம்,We
முடியாது,Can not
வெளியே,Out
மற்ற,Other
இருந்தன,Were
மகிழ்ச்சி,Joy
செய்,Do
தங்கள்,Their
நேரம்,Time
என்றால்,If
சாப்பிடு,Eat
என்றார்,said
ஒரு,A
ஒவ்வொரு,Each
சொல்ல,Say
இல்லை,No
தொகுப்பு,Collection
மூன்று,Three
வேண்டும்,Should
காற்று,Air
அதே,Same
மேலும்,Further
விளையாட,play
ரயில்,train
இறுதி,End
வைத்து,Keep
வீட்டில்,Home
படிக்க,Read
கையில்,Hand
துறைமுக,Port
பெரிய,Large
எழுத்துப்பிழை,Spell
சேர்க்க,Add
இயந்திரம்,Machine
நில,Land
இங்கே,Here
வேண்டும்,Should
பெரிய,Great
இடையே,Between
பின்பற்றவும்,Follow
செயல்,Action
ஏன்,Why
கேட்க,Ask
ஆண்கள்,Men
மாற்றம்,Change
எப்போது,When
ஒளி,Light
வகையான,Kind
சிறுவன்,Boy
வேண்டும்,need
வீட்டில்,House
முயற்சி,Effort
அமெரிக்க,US
மீண்டும்,Again
விலங்கு,Animal
புள்ளி,Point
அம்மா,Mother
உலக,World
அருகில்,Adjacent
கட்ட,Build
சுய,Self
பூமியில்,Earth
தந்தை,Father
